geolocation_zip_code_prefix,geolocation_state,geolocation_lng,geolocation_lat
1001,SP,-46.6340235559042,-23.550189776551765
1002,SP,-46.63497921074498,-23.54814573176355
1003,SP,-46.635731309975874,-23.54899372481316
1004,SP,-46.63475694378971,-23.549798842277006
1005,SP,-46.63673294803691,-23.549456199830747
1006,SP,-46.636136735174176,-23.55010181145287
1007,SP,-46.637251459637646,-23.550046202351666
1008,SP,-46.63588592135778,-23.54600174938346
1009,SP,-46.636490695312204,-23.546835208320868
1010,SP,-46.635226081509046,-23.54638943836927
1011,SP,-46.63558202636042,-23.54690864025111
1012,SP,-46.63485900505736,-23.547789733146864
1013,SP,-46.63423580006204,-23.5471420283239
1014,SP,-46.63361537124495,-23.545912805690417
1015,SP,-46.631558570722675,-23.54766574938348
1016,SP,-46.63235192955855,-23.54897640702995
1017,SP,-46.631023845552235,-23.54953127194786
1018,SP,-46.63243146837755,-23.550928517909007
1019,SP,-46.63089338270138,-23.551774137807584
1020,SP,-46.630049709845736,-23.55233565155142
1021,SP,-46.63214323386248,-23.543000459064803
1022,SP,-46.631931335611945,-23.544921826153427
1023,SP,-46.63137340438761,-23.542330784361457
1024,SP,-46.62990400057277,-23.54140143278026
1025,SP,-46.630928059419446,-23.540291945676326
1026,SP,-46.6318842127058,-23.539657127270946
1027,SP,-46.6306686750678,-23.538082328385336
1028,SP,-46.63355514575825,-23.535932541180536
1029,SP,-46.633415988443026,-23.541373048980535
1030,SP,-46.633023251513535,-23.53954929175343
1031,SP,-46.63508761691669,-23.54190585344045
1032,SP,-46.63519354379768,-23.540124454559955
1033,SP,-46.635878084214845,-23.539271437077804
1034,SP,-46.63736744880091,-23.542515317419948
1035,SP,-46.641549142526515,-23.541614488738944
1036,SP,-46.641443277359336,-23.541648452336283
1037,SP,-46.63892437204838,-23.545411016454082
1038,SP,-46.63999380609391,-23.54390737962768
1039,SP,-46.63916528885119,-23.54137085777194
1040,SP,-46.63832469496941,-23.541028179008823
1041,SP,-46.640046486444724,-23.54390458746036
1042,SP,-46.640410456031695,-23.54485294953175
1043,SP,-46.641502464541404,-23.545765991186382
1044,SP,-46.64145267015315,-23.545598238423416
1045,SP,-46.64252697570119,-23.542345366178562
1046,SP,-46.64399751778182,-23.545930039168812
1047,SP,-46.64106743356167,-23.546187607081748
1048,SP,-46.63983987489639,-23.54711318884073
1049,SP,-46.63916570493306,-23.54701123674601
1050,SP,-46.64303023455153,-23.54922916358051
1101,SP,-46.631957535031056,-23.528286860378213
1102,SP,-46.63028748439394,-23.52557140695574
1103,SP,-46.630290773383486,-23.53546844605213
1104,SP,-46.62957039061347,-23.534952165368537
1105,SP,-46.629077680173324,-23.53409398177586
1106,SP,-46.62822125953078,-23.53022077513783
1107,SP,-46.6295898871866,-23.52608789203137
1108,SP,-46.63035441819986,-23.527232171325494
1109,SP,-46.627103243360565,-23.524624899587646
1120,SP,-46.63951141166309,-23.530162529753113
1121,SP,-46.635256920492864,-23.527866658998825
1122,SP,-46.638324826141925,-23.53113059653861
1123,SP,-46.636582392674725,-23.529164543710603
1124,SP,-46.6330954010969,-23.528221233825743
1125,SP,-46.64016432350874,-23.52728844957164
1126,SP,-46.6391527868084,-23.52706654933756
1127,SP,-46.64159548852641,-23.52548080336663
1128,SP,-46.64220966455253,-23.523786738657147
1129,SP,-46.64507304012999,-23.524051385464382
1130,SP,-46.64492992157746,-23.52483082086712
1131,SP,-46.64310784736644,-23.522379737671027
1132,SP,-46.64873923331728,-23.52153987930432
1133,SP,-46.65332230946677,-23.52042428170985
1134,SP,-46.65269033643667,-23.518899939878285
1135,SP,-46.650970041202214,-23.52619042672918
1136,SP,-46.66135135045779,-23.523986920181713
1137,SP,-46.65280923153935,-23.522851480322114
1138,SP,-46.65525390366426,-23.522455823939264
1139,SP,-46.66593897144172,-23.520724956071753
1140,SP,-46.66923716844039,-23.52043844370904
1141,SP,-46.666439013917504,-23.520310325905555
1142,SP,-46.6251300217966,-23.519934305152635
1144,SP,-46.67242459028445,-23.523572749295845
1150,SP,-46.658245942661345,-23.53295302359728
1151,SP,-46.656288753249086,-23.531641584683715
1152,SP,-46.65527643333266,-23.529884845741268
1153,SP,-46.653549086904356,-23.529930846298754
1154,SP,-46.65929570388055,-23.530535897249937
1155,SP,-46.66331995168207,-23.529072884025176
1156,SP,-46.66643724514499,-23.528921138302913
1189,SP,-46.63839470107914,-23.53210825506378
1200,SP,-46.64986907784642,-23.531567773241413
1201,SP,-46.649539390469315,-23.53608280967418
1202,SP,-46.64828045105447,-23.533742576459336
1203,SP,-46.64529955632679,-23.53596465666132
1204,SP,-46.64408982260722,-23.535992639468514
1205,SP,-46.64264196680963,-23.536490774893963
1206,SP,-46.64281871336397,-23.53586368511747
1207,SP,-46.63865415001012,-23.539175560135185
1208,SP,-46.63898204602016,-23.538660495662256
1209,SP,-46.64158293572283,-23.540695255566067
1210,SP,-46.64209131081347,-23.540039340558916
1211,SP,-46.648837901189005,-23.53757657410565
1212,SP,-46.63942263256764,-23.538268511790665
1213,SP,-46.64036116340707,-23.53650149461516
1214,SP,-46.645230453060144,-23.538842493961862
1215,SP,-46.64754185786535,-23.536167399914945
1216,SP,-46.647833807450674,-23.533127593964494
1217,SP,-46.648883992986306,-23.532657557836487
1218,SP,-46.648325141054045,-23.531249798864057
1219,SP,-46.64569860301066,-23.54128881428637
1220,SP,-46.64603990221942,-23.544514011109737
1221,SP,-46.64828171537101,-23.544867697472082
1222,SP,-46.64936937401519,-23.545944543972997
1223,SP,-46.6485821171502,-23.544088116558562
1224,SP,-46.65242233963953,-23.54177865147579
1225,SP,-46.64913883151016,-23.53978602121373
1226,SP,-46.652719268127555,-23.538010108905684
1227,SP,-46.658384582733994,-23.546201912968815
1228,SP,-46.657610856988455,-23.545189379286004
1229,SP,-46.657291130376834,-23.538901609843467
1230,SP,-46.65711200863413,-23.536310405918027
1231,SP,-46.65925589278497,-23.536950407426133
1232,SP,-46.65742601137803,-23.53642800353018
1233,SP,-46.66166521796578,-23.536246540149957
1234,SP,-46.66424403546395,-23.539689562251546
1235,SP,-46.66466630391698,-23.536714276862273
1236,SP,-46.66741941090643,-23.543550224431343
1237,SP,-46.668724402289044,-23.54323445101232
1238,SP,-46.65424333104067,-23.542571396851145
1239,SP,-46.631059196217635,-23.543095270084798
1240,SP,-46.658543962529855,-23.543791843442868
1241,SP,-46.65784019308335,-23.54552478660237
1242,SP,-46.65850174642453,-23.546506947085888
1243,SP,-46.65919184884556,-23.548120304994384
1244,SP,-46.65959031403356,-23.56204912797664
1245,SP,-46.66382107418295,-23.5494755238467
1246,SP,-46.666318477031005,-23.55348129524968
1247,SP,-46.66865580450115,-23.55063807285042
1248,SP,-46.6680263133255,-23.54791252484105
1249,SP,-46.67122044555848,-23.54841989244908
1250,SP,-46.671972633543334,-23.547640483075995
1251,SP,-46.67484647170287,-23.54837451640475
1252,SP,-46.67893404000763,-23.541753975470872
1253,SP,-46.679164692087,-23.54492912635292
1254,SP,-46.680852402934015,-23.543337420255035
1255,SP,-46.68154172682528,-23.546369835319183
1256,SP,-46.682838349154586,-23.547773256174622
